9,Code PaLOUsa 2019,1321,2019-08-23 12:45,2019-08-23 13:45,A Data Access Layer You're Proud of without Entity Framework,Topic-1,Application Development,Tag-1,.NET,Speaker-1740,"Jonathan ""J.""",Tower
9,Code PaLOUsa 2019,1321,2019-08-23 12:45,2019-08-23 13:45,A Data Access Layer You're Proud of without Entity Framework,Topic-1,Application Development,Tag-46,Architecture,Speaker-1740,"Jonathan ""J.""",Tower
9,Code PaLOUsa 2019,1321,2019-08-23 12:45,2019-08-23 13:45,A Data Access Layer You're Proud of without Entity Framework,Topic-1,Application Development,Tag-50,Database,Speaker-1740,"Jonathan ""J.""",Tower
9,Code PaLOUsa 2019,1322,2019-08-22 11:30,2019-08-22 12:30,You aren't gonna need it!,Topic-1,Application Development,Tag-9,Development Practices,Speaker-1726,Jason,McCreary
9,Code PaLOUsa 2019,1323,2019-08-23 10:15,2019-08-23 11:15,nginx + Redis = Ludicrous Speed,Topic-1,Application Development,Tag-9,Development Practices,Speaker-1726,Jason,McCreary
9,Code PaLOUsa 2019,1323,2019-08-23 10:15,2019-08-23 11:15,nginx + Redis = Ludicrous Speed,Topic-1,Application Development,Tag-10,DevOps,Speaker-1726,Jason,McCreary
9,Code PaLOUsa 2019,1323,2019-08-23 10:15,2019-08-23 11:15,nginx + Redis = Ludicrous Speed,Topic-1,Application Development,Tag-46,Architecture,Speaker-1726,Jason,McCreary
9,Code PaLOUsa 2019,1324,2019-08-23 12:45,2019-08-23 13:45,Get to Know Babel,Topic-1,Application Development,Tag-15,JavaScript,Speaker-1738,Jonathan,Kemp
9,Code PaLOUsa 2019,1329,2019-08-23 12:45,2019-08-23 13:45,Is Machine Learning the right tool?,Topic-1,Application Development,Tag-4,Big Data,Speaker-1689,Brian,Korzynski
9,Code PaLOUsa 2019,1330,2019-08-22 10:15,2019-08-22 11:15,Introduction to Amazon AWS,Topic-1,Application Development,Tag-1,.NET,Speaker-1689,Brian,Korzynski
9,Code PaLOUsa 2019,1330,2019-08-22 10:15,2019-08-22 11:15,Introduction to Amazon AWS,Topic-1,Application Development,Tag-52,AWS,Speaker-1689,Brian,Korzynski
9,Code PaLOUsa 2019,1345,2019-08-22 16:30,2019-08-22 17:30,How Functional Programming Made Me a Better Developer,Topic-1,Application Development,Tag-1,.NET,Speaker-1694,Cameron,Presley
9,Code PaLOUsa 2019,1345,2019-08-22 16:30,2019-08-22 17:30,How Functional Programming Made Me a Better Developer,Topic-1,Application Development,Tag-23,Other,Speaker-1694,Cameron,Presley
9,Code PaLOUsa 2019,1345,2019-08-22 16:30,2019-08-22 17:30,How Functional Programming Made Me a Better Developer,Topic-1,Application Development,Tag-53,Functional Progreamming,Speaker-1694,Cameron,Presley
9,Code PaLOUsa 2019,1346,2019-08-23 15:15,2019-08-23 16:15,How To Have Code Reviews Developers Actually Want,Topic-5,Soft Skills,Tag-9,Development Practices,Speaker-1694,Cameron,Presley
9,Code PaLOUsa 2019,1346,2019-08-23 15:15,2019-08-23 16:15,How To Have Code Reviews Developers Actually Want,Topic-5,Soft Skills,Tag-20,Soft Skills,Speaker-1694,Cameron,Presley
9,Code PaLOUsa 2019,1349,2019-08-22 11:30,2019-08-22 12:30,"Hey, You Got Your TDD in my SQL DB!",Topic-6,Software Testing,Tag-21,Testing,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1349,2019-08-22 11:30,2019-08-22 12:30,"Hey, You Got Your TDD in my SQL DB!",Topic-6,Software Testing,Tag-47,Quality Assurance,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1349,2019-08-22 11:30,2019-08-22 12:30,"Hey, You Got Your TDD in my SQL DB!",Topic-6,Software Testing,Tag-50,Database,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1349,2019-08-22 11:30,2019-08-22 12:30,"Hey, You Got Your TDD in my SQL DB!",Topic-6,Software Testing,Tag-54,SQL,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1350,2019-08-23 09:00,2019-08-23 10:00,Automating Your Automation: The Care and Feeding of Jenkins,Topic-1,Application Development,Tag-9,Development Practices,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1350,2019-08-23 09:00,2019-08-23 10:00,Automating Your Automation: The Care and Feeding of Jenkins,Topic-1,Application Development,Tag-10,DevOps,Speaker-1728,Jeff,McKenzie
9,Code PaLOUsa 2019,1350,2019-08-23 09:00,2019-08-23 10:00,Automating Your Automation: The Care and Feeding of Jenkins,Topic-1,Application Development,Tag-48,Continuous Development,Speaker-1728,Jeff,McKenzie
