10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-6,Cross-Platform,Michael Yotive
10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-14,Java,Michael Yotive
10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-15,JavaScript,Michael Yotive
10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-16,Mobile,Michael Yotive
10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-23,Other,Michael Yotive
10,Code PaLOUsa 2020,1655,2020-08-20 14:45,2020-08-20 15:45,Kotlin All The Things!,Topic-1,Application Development,Tag-51,Kotlin,Michael Yotive
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-1,.NET,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-5,Cloud,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-10,DevOps,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-40,Microservices,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-41,Docker,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-46,Architecture,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-50,Database,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-56,Azure,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-58,Container,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-59,Microsoft,Matthew Groves
10,Code PaLOUsa 2020,1657,2020-08-21 11:00,2020-08-21 12:00,Developing and deploying your first ASP.NET Core Microservice to Kubernetes,Topic-1,Application Development,Tag-60,NoSQL,Matthew Groves
10,Code PaLOUsa 2020,1658,2020-08-20 08:30,2020-08-20 09:30,Developer's Guide to Common Vulnerabilities and How to Prevent Them,Topic-1,Application Development,Tag-19,Security,Devlin Duldulao
10,Code PaLOUsa 2020,1659,2020-08-21 16:00,2020-08-21 17:00,Yarn 2: a next generation package manager,Topic-1,Application Development,Tag-15,JavaScript,Michael Richardson
10,Code PaLOUsa 2020,1659,2020-08-21 16:00,2020-08-21 17:00,Yarn 2: a next generation package manager,Topic-1,Application Development,Tag-33,Web,Michael Richardson
10,Code PaLOUsa 2020,1659,2020-08-21 16:00,2020-08-21 17:00,Yarn 2: a next generation package manager,Topic-1,Application Development,Tag-61,Continuous Delivery,Michael Richardson
10,Code PaLOUsa 2020,1660,2020-08-21 08:30,2020-08-21 09:30,Migrating from REST to GraphQL,Topic-1,Application Development,Tag-33,Web,Devlin Duldulao
10,Code PaLOUsa 2020,1660,2020-08-21 08:30,2020-08-21 09:30,Migrating from REST to GraphQL,Topic-1,Application Development,Tag-46,Architecture,Devlin Duldulao
10,Code PaLOUsa 2020,1662,2020-08-21 13:30,2020-08-21 14:30,My Browser Does What?,Topic-1,Application Development,Tag-15,JavaScript,Joel Lord
10,Code PaLOUsa 2020,1662,2020-08-21 13:30,2020-08-21 14:30,My Browser Does What?,Topic-1,Application Development,Tag-33,Web,Joel Lord
10,Code PaLOUsa 2020,1662,2020-08-21 13:30,2020-08-21 14:30,My Browser Does What?,Topic-1,Application Development,Tag-62,Fun,Joel Lord
10,Code PaLOUsa 2020,1663,2020-08-21 08:30,2020-08-21 09:30,Mobile Wars: The Rise of Cross Platform Apps,Topic-1,Application Development,Tag-16,Mobile,Tyler Blake
10,Code PaLOUsa 2020,1667,2020-08-21 08:30,2020-08-21 09:30,Don't screw up the SQL!,Topic-1,Application Development,Tag-45,Performance,Evan Smith
10,Code PaLOUsa 2020,1667,2020-08-21 08:30,2020-08-21 09:30,Don't screw up the SQL!,Topic-1,Application Development,Tag-50,Database,Evan Smith
10,Code PaLOUsa 2020,1667,2020-08-21 08:30,2020-08-21 09:30,Don't screw up the SQL!,Topic-1,Application Development,Tag-54,SQL,Evan Smith
10,Code PaLOUsa 2020,1668,2020-08-19 09:00,2020-08-19 12:00,Getting Started with Python [Half-Day Workshop],Topic-1,Application Development,Tag-34,Python,Evan Smith
